Nome,Stato,Altitudine (m),Latitudine,Longitudine,Regione/Cantone/Bundesland,Provincia/Distretto,Tipo strada,Superficie,Rif. strada,Wikipedia
Passo Manghen,Italia,2047,46.1732517,11.4414698,Trentino-Alto Adige/Südtirol,Trento,secondary,asphalt,SP31,https://it.wikipedia.org/wiki/Passo_Manghen
Sella di Interneppo,Italia,314,46.318746,13.0886737,Friuli-Venezia Giulia,Udine,tertiary,asphalt,SP36,
Passo Rest / Pas di Rest,Italia,1052,46.3559335,12.7827778,Friuli-Venezia Giulia,Pordenone,secondary,asphalt,SR552,https://it.wikipedia.org/wiki/Forcella_di_Monte_Rest
Giogo del Maniva,Italia,1664,45.8226344,10.4101045,Lombardia,Brescia,path;secondary;unclassified,asphalt,,https://it.wikipedia.org/wiki/Passo_del_Maniva
Valico di Monte Bondone,Italia,1651,46.0392908,11.0582244,Trentino-Alto Adige/Südtirol,Trento,secondary,asphalt,SP85,
Passo del Monte Trebbio,Italia,565,44.1293316,11.8283151,Emilia-Romagna,Forlì-Cesena,secondary;tertiary,asphalt,SP21,
Passo Torri di Fraele,Italia,1941,46.5022719,10.3098412,Lombardia,Sondrio,unclassified,asphalt,,
Passo Scassella,Italia,1076,44.4111059,9.6441932,Liguria,La Spezia,tertiary,asphalt,,
Passo Falzarego,Italia,2105,46.5187504,12.0084323,Veneto,Belluno,primary,asphalt,SR48,https://it.wikipedia.org/wiki/Passo_di_Falzarego
Passo Croce,Italia,616,46.1614541,11.1345692,Trentino-Alto Adige/Südtirol,Trento,tertiary,asphalt,SP131dir,
Passo del Righetto,Italia,972,44.4524248,9.9188519,Toscana,Massa-Carrara,path;primary,asphalt,SS62,
Colle di San Zeno,Italia,1418,45.7811966,10.1873656,Lombardia,Brescia,unclassified,asphalt,,https://it.wikipedia.org/wiki/Colle_di_San_Zeno
Forcella di Brez - Brezer Joch,Italia,1397,46.4513504,11.0824776,Trentino-Alto Adige/Südtirol,Trento,secondary,asphalt,LS/SP86;SP43,
Colle Gallo,Italia,754,45.753471,9.8738661,Lombardia,Bergamo,footway;tertiary;unclassified,asphalt,SP39,https://it.wikipedia.org/wiki/Colle_Gallo
Colle di Zambla,Italia,1264,45.8870965,9.7977431,Lombardia,Bergamo,residential;secondary;unclassified,asphalt,SP27;SP46,https://it.wikipedia.org/wiki/Colle_di_Zambla
Sella di Vignola,Italia,557,46.0469516,11.2550959,Trentino-Alto Adige/Südtirol,Trento,secondary,asphalt,SP228,
Passo del Silara di Marra,Italia,1197,44.4807869,10.0093285,Emilia-Romagna,Parma,tertiary,asphalt,SP74,
Passo dei Giovi,Italia,472,44.5521523,8.9368613,Liguria,Genova,primary;residential,asphalt,SS35,https://it.wikipedia.org/wiki/Passo_dei_Giovi
Passo della Crocetta di Orero,Italia,471,44.5198434,8.9878379,Liguria,Genova,secondary,asphalt,SP2,https://it.wikipedia.org/wiki/Crocetta_d%27Orero
Forcella Franche,Italia,991,46.2333305,12.0131757,Veneto,Belluno,secondary,asphalt,SP3,https://it.wikipedia.org/wiki/Forcella_Franche
Sella di Serrada,Italia,1250,45.8912616,11.1541852,Trentino-Alto Adige/Südtirol,Trento,secondary,asphalt,SP2,
Passo dell'Ampola,Italia,747,45.8643954,10.6454504,Trentino-Alto Adige/Südtirol,Trento,primary,asphalt,SS240,https://it.wikipedia.org/wiki/Passo_d%27Ampola
Passo La Croce,Italia,665,43.4395299,12.6840719,Marche,Pesaro e Urbino,secondary,asphalt,SP50,
Reiterjoch - Passo di Pampeago,Italia,1983,46.3538109,11.5398288,Trentino-Alto Adige/Südtirol,Bolzano/Bozen,unclassified,asphalt,,https://it.wikipedia.org/wiki/Passo_di_Pampeago
Passo di San Lugano - San-Lugano-Sattel,Italia,1097,46.3123087,11.3930437,Trentino-Alto Adige/Südtirol,Bolzano/Bozen,primary;service;unclassified,asphalt,SS48,https://it.wikipedia.org/wiki/Passo_di_San_Lugano
Sella Cereschiatis,Italia,1072,46.5040184,13.2451519,Friuli-Venezia Giulia,Udine,secondary,asphalt,SP112,
Valico di Monte Cristo,Italia,1775,42.409691,13.5879294,Abruzzo,L'Aquila,path;primary;track,asphalt,SR17 bis,
Valico delle Capannelle,Italia,1300,42.459345,13.3514445,Abruzzo,L'Aquila,primary,asphalt,SS80,https://it.wikipedia.org/wiki/Passo_delle_Capannelle
Passo Xon,Italia,671,45.7202682,11.2210989,Veneto,Vicenza,primary,asphalt,SP246,https://it.wikipedia.org/wiki/Passo_Xon
Bocca Paolone,Italia,947,45.7468643,10.6538173,Lombardia,Brescia,track,asphalt,,
Passo della Foppa,Italia,1852,46.2478592,10.3003716,Lombardia,Brescia,secondary;unclassified,asphalt,SS42 dir/A,https://it.wikipedia.org/wiki/Passo_del_Mortirolo
